City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
413,Hearst,CA,73.65,overcast clouds,49.6835,-83.6665,Companion
414,Qianan,CN,76.24,overcast clouds,44.9932,124.0581,Qian'an Hotel
418,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
420,Bandarbeyla,SO,77.41,overcast clouds,9.4942,50.8122,JABIR HOTEL
422,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
424,Sarangani,PH,83.68,overcast clouds,5.4033,125.4636,Ballistic Islet
425,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
427,Kheralu,IN,78.13,overcast clouds,23.8833,72.6167,Gopal lodg
429,Tonekabon,IR,71.55,overcast clouds,36.8163,50.8738,Hotel Sadra
432,Meaford,CA,80.13,scattered clouds,44.6001,-80.583,Meaford Memorial Park
437,Rudsar,IR,71.58,overcast clouds,37.1376,50.288,Hotel Bahar
441,Ormara,PK,81.84,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
444,Amalapuram,IN,83.16,overcast clouds,16.5833,82.0167,swayamprabha service apartments
447,Biltine,TD,82.47,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
453,Shelburne,CA,77.13,broken clouds,44.0787,-80.2041,The Retreat at the Farm
459,Sinnamary,GF,80.85,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
460,Lalmohan,BD,81.21,overcast clouds,22.3384,90.7419,Sundorbon courier service
461,Bethel,US,82.35,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
465,Lorengau,PG,82.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
467,La Ronge,CA,71.82,few clouds,55.1001,-105.2842,Northland Motor Hotel
468,Dicabisagan,PH,80.74,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
469,Kavaratti,IN,82.13,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
471,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
472,Guerrero,MX,78.26,overcast clouds,17.6667,-100.0,Villaxochilt
473,Mayumba,GA,71.67,broken clouds,-3.432,10.6554,LIKWALE LODGE
474,Nortelandia,BR,78.17,clear sky,-14.4547,-56.8028,Hotel Karysmã
475,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
484,Ambagarh Chauki,IN,74.66,moderate rain,20.7833,80.7167,Hunesh kunjam home ....
485,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
486,Naro,IT,84.09,clear sky,37.2935,13.7936,San Caloiru Home
489,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
490,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
497,Omboue,GA,74.07,scattered clouds,-1.5746,9.2618,Hotel Olako
500,Pervomaysk,UA,76.19,scattered clouds,48.0443,30.8507,Erikh Shyule Hotelʹ Pp
503,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
505,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
507,Yuriria,MX,79.57,broken clouds,20.2,-101.15,Hotel Tiberiades
508,Sri Aman,MY,75.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
510,San Benedetto Del Tronto,IT,81.91,clear sky,42.9456,13.8816,Hotel La Palazzina
511,Cururupu,BR,78.22,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
513,Jinchang,CN,73.98,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
516,Tshikapa,CD,74.88,clear sky,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
517,Gualaquiza,EC,70.57,light rain,-3.4,-78.55,Hotel Merceditas
518,Pemba,MZ,75.15,clear sky,-12.974,40.5178,Guesthouse Samotina
519,Xifeng,CN,72.61,overcast clouds,42.7372,124.7222,Home Inn Hotel
520,Wausau,US,81.55,light rain,44.9591,-89.6301,Jefferson Street Inn
521,Formosa Do Rio Preto,BR,80.49,clear sky,-11.0483,-45.1931,Porto Center Hotel
523,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
527,Mae Hong Son,TH,72.81,light rain,19.3003,97.9685,Baiyoke Chalet Hotel
528,Gazojak,TM,76.96,scattered clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
533,Wanning,CN,80.46,overcast clouds,18.8003,110.3967,Paradise Hotel
534,Ugoofaaru,MV,82.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
538,Owando,CG,81.68,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
541,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
545,Carutapera,BR,78.69,clear sky,-1.195,-46.02,Lidera
548,Tarrafal,CV,79.59,scattered clouds,15.2833,-23.7667,Hotel Ixola
549,Teknaf,BD,81.09,moderate rain,20.8624,92.3058,Forestry Guesthouse
554,Bogale,MM,78.66,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
555,Ugento,IT,84.45,clear sky,39.9263,18.1574,Porta Paradiso
557,Alpena,US,79.12,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
560,Benghazi,LY,80.8,clear sky,32.1167,20.0667,Tibesti Hotel
561,Norsup,VU,77.76,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
565,Soller,ES,80.22,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
566,Basoko,CD,74.53,broken clouds,1.2391,23.616,Jackyna Hotel
568,Ryotsu,JP,76.33,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
569,Tual,ID,79.9,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
575,Kisangani,CD,74.84,overcast clouds,0.5167,25.2,Grand Ramela Hotel
576,Pringsewu,ID,71.49,few clouds,-5.3582,104.9744,Urban Style by Front One
580,Cumbum,IN,74.53,overcast clouds,9.7333,77.3,Sagar hotel
582,Maragogi,BR,74.39,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
584,Beniganj,IN,82.26,light rain,27.2833,80.45,ADARS JAN SEVA KENDRA
588,Dingzhou,CN,77.11,light rain,38.5131,114.9956,宜家时尚宾馆
592,Bamako,ML,79.21,thunderstorm,12.65,-8.0,Hôtel l’Amitié Bamako
596,Marsh Harbour,BS,84.88,clear sky,26.5412,-77.0636,Abaco Beach Resort
601,Itagi,BR,75.85,scattered clouds,-14.1628,-40.0061,Pousada Itagi
604,Tumen,CN,73.24,overcast clouds,42.9661,129.8425,Friendship Hotel
605,Shahreza,IR,75.43,clear sky,32.0339,51.8794,خوابگاه
606,Zaozerne,UA,75.24,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
610,Sao Filipe,CV,75.36,few clouds,14.8961,-24.4956,Hotel Xaguate
611,Naze,JP,77.72,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
612,Lesozavodsk,RU,74.08,scattered clouds,45.4794,133.4244,Hotel Chelyuskina
618,Tanta,EG,73.42,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
620,Beaufort,MY,80.76,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
621,Sao Joao Da Barra,BR,71.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
627,Bayeux,BR,79.43,scattered clouds,-7.125,-34.9322,Infinity Motel
631,Elizabeth City,US,82.45,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
632,Barrington,US,77.86,scattered clouds,41.7407,-71.3087,Beach Mansion
636,Hirara,JP,82.11,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
642,Fredericton,CA,72.37,scattered clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
645,Moura,PT,84.31,clear sky,38.1401,-7.4486,Hotel de Moura
648,Changde,CN,76.78,overcast clouds,29.0464,111.6783,Kangshida Hotel
651,Maumere,ID,78.21,scattered clouds,-8.6199,122.2111,Sylvia Hotel
652,Bo Rai,TH,75.83,overcast clouds,12.5728,102.5371,Baiboon Resort
655,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
657,Ahtopol,BG,75.67,clear sky,42.1,27.95,Agata Beach Hotel
658,Sioux Lookout,CA,82.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
659,Aksu,CN,83.68,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
660,Sao Caetano De Odivelas,BR,77.4,scattered clouds,-0.75,-48.02,Hotel do Luttis
667,Shancheng,CN,71.35,light rain,34.7953,116.0817,Shanxian Golden Dragon Hotel
669,Caldas Novas,BR,71.47,clear sky,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
673,Itagiba,BR,74.5,few clouds,-14.2836,-39.8428,KALIBA BAR Pousada e Restaurante
679,Vrangel,RU,72.79,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
680,Tanggu,CN,76.96,light rain,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
683,Goderich,CA,80.2,scattered clouds,43.7501,-81.7165,Harmony Inn
684,Santa Cruz Cabralia,BR,77.23,few clouds,-16.2781,-39.0247,Portobali Hotel
687,Katiola,CI,75.83,light rain,8.1333,-5.1,Auberge Residence Yebin
688,Arroyo,ES,80.22,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
691,Kirundo,BI,72.37,few clouds,-2.5833,30.1667,Maranatha Hotel
696,Elliot Lake,CA,73.49,scattered clouds,46.3834,-82.6331,Paris Plaza
697,Kutum,SD,76.26,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
699,Gboko,NG,75.18,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
703,Aden,YE,82.58,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
706,Samarai,PG,79.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
707,Pyapon,MM,78.48,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
